route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
15260022,6,40B,Malia - Potamiou - Malia - Dora ,,3,0080C0,FFFFFF
15270011,6,40E,Potamiou - Vasa,,3,FF80C0,000000
15270012,6,40E,Vasa - Potamiou,,3,FF80C0,000000
15280011,6,40H,Lofou - Agios Therapon,,3,FF80FF,000000
15280012,6,40H,Agios Therapon - Lofou,,3,FF80FF,000000
15280021,6,40H,Lofou - Agios Therapon - Souni - Kantou,,3,FF80FF,000000
15280022,6,40H,Kantou - Souni - Agios Therapon - Lofou ,,3,FF80FF,000000
15290011,6,40K,Zanakia - Souni - Sotira (Circular),,3,008080,FFFFFF
15300011,6,40M,Vouni - Agios Amvrosios (Circular),,3,FF8000,000000
15300021,6,40M,Vouni -  Agios Amvrosios - Zanakia - Sotira - Kantou,,3,FF8000,000000
15300022,6,40M,Kantou - Sotira - Zanakia -  Agios Amvrosios - Vouni,,3,FF8000,000000
15310011,6,40P,Kyvides - Pachna Health Centre,,3,000000,FFFFFF
15310012,6,40P,Pachna Health Centre - Kyvides ,,3,000000,FFFFFF
15320011,6,50A,Kato Milos - Agios Ioannis - Agios Theodoros - Papoutsa,,3,FFFF80,000000
15320012,6,50A,Papoutsa - Agios Theodoros - Agios Ioannis - Kato Milos,,3,FFFF80,000000
15330011,6,50B,Kyperounta - Dymes - Potamitissa - Kato Mylos,,3,408080,FFFFFF
15330012,6,50B,Kato Mylos - Potamitissa - Dymes - Kyperounta,,3,408080,FFFFFF
15340011,6,50E,Kato Mylos - Agios Ioannis - Agros - Agridia - Kyperounta Hospital,,3,FF0080,FFFFFF
15340012,6,50E,Kyperounta Hospital - Agridia - Agros - Agios Ioannis - Kato Mylos,,3,FF0080,FFFFFF
15350011,6,50H,Agios Theodoros - Zoopigi - Kalo Chorio,,3,8080FF,FFFFFF
15350012,6,50H,Kalo Chorio - Zoopigi - Agios Theodoros ,,3,8080FF,FFFFFF
15350021,6,50H,Agios Theodoros - Zoopigi - Kalo Chorio,,3,8080FF,FFFFFF
15350022,6,50H,Kalo Chorio - Zoopigi,,3,8080FF,FFFFFF
15360011,6,50K,Agios Konstantinos - Agios Pavlos - Louvaras - Kalo Chorio,,3,804040,FFFFFF
15360012,6,50K,Kalo Chorio - Louvaras - Ag. Pavlos - Ag. Konstantinos,,3,804040,FFFFFF
15360022,6,50K,Kalo Chorio - Louvaras - Kalo Chorio - Ag. Pavlos - Ag. Konstantinos,,3,804040,FFFFFF
15370011,6,50M,Apsiou - Gerasa,,3,808040,000000
15370012,6,50M,Gerasa - Apsiou ,,3,808040,000000
15380011,6,50P,Fasoula - Spitali - Paramytha,,3,FF0000,FFFFFF
15380012,6,50P,Paramytha - Spitali - Fasoula,,3,FF0000,FFFFFF
15390011,6,50T,Agridia - Kyperounta,,3,00FFFF,000000
15390012,6,50T,Kyperounta - Agridia,,3,00FFFF,000000
15400011,6,60A,Pelendri - Saittas,,3,0080C0,FFFFFF
15400012,6,60A,Saittas - Pelendri,,3,0080C0,FFFFFF
15410011,6,60B,Kouka - Silikou - Ag. Georgios - Monagri - Doros - Distrato Doros-Laneia,,3,FF80FF,000000
15410012,6,60B,Doros - Silikou - Kouka,,3,FF80FF,000000
15420011,6,60E,Koilani - Pera Pedi - Moniatis - Saittas,,3,008040,FFFFFF
15420012,6,60E,Saittas - Moniatis - Pera Pedi - Koilani,,3,008040,FFFFFF
15430011,6,60H,Potamitissa - Pelendri - Fylagra - Kyperounta Hospital,,3,0000A0,FFFFFF
15430012,6,60H,Kyperounta Hospital - Fylagra - Pelendri - Potamitissa,,3,0000A0,FFFFFF
15440011,6,60K,Chandria - Kyperounta - Saittas,,3,FF8000,000000
15440012,6,60K,Saittas - Kyperounta - Chandria,,3,FF8000,000000
15460011,6,60P,Saittas - Moniatis - Pera Pedi - Koilani - Mandria - Kato Platres - Pano Platres - Foini,,3,FF0000,FFFFFF
15460012,6,60P,Foini - Pano Platres - Kato Platres - Mandria - Koilani - Pera Pedi - Moniatis - Saittas,,3,FF0000,FFFFFF
15470011,6,62A,Kaminaria - Treis Elies - Agios Dimitrios,,3,804000,FFFFFF
15470012,6,62A,Agios Dimitrios - Treis Elies - Kaminaria,,3,804000,FFFFFF
15480011,6,62B,Prodromos - Lemythou - Foini - Pano Platres - Mandria - Saittas,,3,004040,FFFFFF
15480012,6,62B,Saittas - Mandria - Pano Platres - Foini - Lemythou - Prodromos,,3,004040,FFFFFF
15490011,6,62E,Prodromos - Lemythou - Saittas,,3,00FF40,000000
15490012,6,62E,Saittas - Lemythou - Prodromos,,3,00FF40,000000
15500011,6,62H,Foini - Platres - Mandria - Pera Pedi - Moniatis - Saittas - Amiantos - Kyperounta Hospital,,3,8000FF,FFFFFF
15500012,6,62H,Kyperounta Hospital - Amiantos - Saittas - Moniatis - Pera Pedi - Mandria - Platres - Foini,,3,8000FF,FFFFFF
15510011,6,62K,Kaminaria - Treis Elies - Ag. Dimitrios - Paliomylos - Lemythou - Prodromos - Troodos - Kyperounta Hospital,,3,008080,FFFFFF
15510012,6,62K,Kyperounta Hospital - Troodos - Prodromos - Lemythou - Paliomylos - Ag. Dimitrios - Treis Elies - Kaminaria,,3,008080,FFFFFF
15520011,6,62M,Prodromos - Lemythou - Kaminaria - Treis Elies - Agios Dimitrios - Saittas,,3,FF8000,000000
15520012,6,62M,Saittas - Agios Dimitrios - Treis Elies - Kaminaria - Lemythou - Prodromos,,3,FF8000,000000
15530011,6,62P,Prodromos - Lemythou - Distrato Ag. Dimitriou - Kaminaria,,3,800000,FFFFFF
15530012,6,62P,Kaminaria - Distrato Ag. Dimitriou - Lemythou - Prodromos,,3,800000,FFFFFF
15540011,6,62T,Platres - Saittas,,3,FFFF80,000000
15540012,6,62T,Saittas - Platres,,3,FFFF80,000000
15550011,6,62X,Distrato Ag. Dimitriou - Lemythou - Prodromos,,3,800040,FFFFFF
15550012,6,62X,Prodromos - Lemythou - Distrato Ag. Dimitriou,,3,800040,FFFFFF
15560011,6,62Y,Saittas - Platania,,3,C0C0C0,FFFFFF
15560012,6,62Y,Platania - Saittas,,3,C0C0C0,FFFFFF
15580011,6,63A,Amiantos - Saittas,,3,004040,FFFFFF
15580012,6,63A,Saittas - Amiantos,,3,004040,FFFFFF
15590011,6,64A,Saittas - Platres - Troodos,,3,0080FF,FFFFFF
15590012,6,64A,Troodos - Platres - Saittas,,3,0080FF,FFFFFF
15600011,6,66A,Dymes - Potamitissa,,3,808040,000000
15600012,6,66A,Potamitissa - Dymes,,3,808040,000000
15610011,6,70A,Avdimou - Anogyra,,3,008000,FFFFFF
15610012,6,70A,Anogyra - Avdimou,,3,008000,FFFFFF
