fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
741_5001_325_5603,6,EUR,0,0,5,
741_5001_325_5847,6,EUR,0,0,5,
741_5001_325_5848,6,EUR,0,0,5,
741_5001_325_5849,6,EUR,0,0,5,
741_5001_325_5850,6,EUR,0,0,5,
741_5001_325_5853,6,EUR,0,0,5,
741_5001_325_5854,6,EUR,0,0,5,
741_5001_325_5858,6,EUR,0,0,5,
741_5001_325_5859,6,EUR,0,0,5,
741_5001_325_5867,6,EUR,0,0,5,
741_5001_325_5901,6,EUR,0,0,5,
741_5001_325_7060,6,EUR,0,0,5,
741_5001_325_7973,6,EUR,0,0,5,
741_5001_325_8010,6,EUR,0,0,5,
741_5001_326_1,6,EUR,0,0,5,
741_5001_326_324,6,EUR,0,0,5,
741_5001_326_5603,6,EUR,0,0,5,
741_5001_326_5848,6,EUR,0,0,5,
741_5001_326_5849,6,EUR,0,0,5,
741_5001_326_8010,6,EUR,0,0,5,
741_5001_332_1,6,EUR,0,0,5,
741_5001_332_324,6,EUR,0,0,5,
741_5001_332_326,6,EUR,0,0,5,
741_5001_332_333,6,EUR,0,0,5,
741_5001_332_337,6,EUR,0,0,5,
741_5001_332_338,6,EUR,0,0,5,
741_5001_332_339,6,EUR,0,0,5,
741_5001_332_340,6,EUR,0,0,5,
741_5001_332_5603,6,EUR,0,0,5,
741_5001_332_5847,6,EUR,0,0,5,
741_5001_332_5848,6,EUR,0,0,5,
741_5001_332_5849,6,EUR,0,0,5,
741_5001_332_5850,6,EUR,0,0,5,
741_5001_332_5853,6,EUR,0,0,5,
741_5001_332_5854,6,EUR,0,0,5,
741_5001_332_5858,6,EUR,0,0,5,
741_5001_332_5859,6,EUR,0,0,5,
741_5001_332_5867,6,EUR,0,0,5,
741_5001_332_5901,6,EUR,0,0,5,
741_5001_332_7060,6,EUR,0,0,5,
741_5001_332_7973,6,EUR,0,0,5,
741_5001_332_8010,6,EUR,0,0,5,
741_5001_333_1,6,EUR,0,0,5,
741_5001_333_324,6,EUR,0,0,5,
741_5001_333_326,6,EUR,0,0,5,
741_5001_333_5603,6,EUR,0,0,5,
741_5001_333_5848,6,EUR,0,0,5,
741_5001_333_5849,6,EUR,0,0,5,
741_5001_333_8010,6,EUR,0,0,5,
741_5001_337_1,6,EUR,0,0,5,
741_5001_337_324,6,EUR,0,0,5,
741_5001_337_326,6,EUR,0,0,5,
741_5001_337_333,6,EUR,0,0,5,
741_5001_337_5603,6,EUR,0,0,5,
741_5001_337_5848,6,EUR,0,0,5,
741_5001_337_5849,6,EUR,0,0,5,
741_5001_337_5853,6,EUR,0,0,5,
741_5001_337_5859,6,EUR,0,0,5,
741_5001_337_7973,6,EUR,0,0,5,
741_5001_337_8010,6,EUR,0,0,5,
741_5001_338_1,6,EUR,0,0,5,
741_5001_338_324,6,EUR,0,0,5,
741_5001_338_326,6,EUR,0,0,5,
741_5001_338_333,6,EUR,0,0,5,
741_5001_338_337,6,EUR,0,0,5,
741_5001_338_339,6,EUR,0,0,5,
741_5001_338_340,6,EUR,0,0,5,
741_5001_338_5603,6,EUR,0,0,5,
741_5001_338_5848,6,EUR,0,0,5,
741_5001_338_5849,6,EUR,0,0,5,
741_5001_338_5850,6,EUR,0,0,5,
741_5001_338_5853,6,EUR,0,0,5,
741_5001_338_5854,6,EUR,0,0,5,
741_5001_338_5858,6,EUR,0,0,5,
741_5001_338_5859,6,EUR,0,0,5,
741_5001_338_5867,6,EUR,0,0,5,
741_5001_338_5901,6,EUR,0,0,5,
741_5001_338_7060,6,EUR,0,0,5,
741_5001_338_7973,6,EUR,0,0,5,
741_5001_338_8010,6,EUR,0,0,5,
741_5001_339_1,6,EUR,0,0,5,
741_5001_339_324,6,EUR,0,0,5,
741_5001_339_326,6,EUR,0,0,5,
741_5001_339_333,6,EUR,0,0,5,
741_5001_339_337,6,EUR,0,0,5,
741_5001_339_5603,6,EUR,0,0,5,
741_5001_339_5848,6,EUR,0,0,5,
741_5001_339_5849,6,EUR,0,0,5,
741_5001_339_5853,6,EUR,0,0,5,
741_5001_339_5859,6,EUR,0,0,5,
741_5001_339_7973,6,EUR,0,0,5,
741_5001_339_8010,6,EUR,0,0,5,
741_5001_340_1,6,EUR,0,0,5,
741_5001_340_324,6,EUR,0,0,5,
741_5001_340_326,6,EUR,0,0,5,
741_5001_340_333,6,EUR,0,0,5,
741_5001_340_337,6,EUR,0,0,5,
741_5001_340_339,6,EUR,0,0,5,
741_5001_340_5603,6,EUR,0,0,5,
741_5001_340_5848,6,EUR,0,0,5,
741_5001_340_5849,6,EUR,0,0,5,
741_5001_340_5853,6,EUR,0,0,5,
741_5001_340_5858,6,EUR,0,0,5,
741_5001_340_5859,6,EUR,0,0,5,
741_5001_340_5867,6,EUR,0,0,5,
741_5001_340_5901,6,EUR,0,0,5,
741_5001_340_7060,6,EUR,0,0,5,
741_5001_340_7973,6,EUR,0,0,5,
741_5001_340_8010,6,EUR,0,0,5,
741_5001_5602_1,6,EUR,0,0,5,
741_5001_5602_324,6,EUR,0,0,5,
741_5001_5602_325,6,EUR,0,0,5,
741_5001_5602_326,6,EUR,0,0,5,
741_5001_5602_332,6,EUR,0,0,5,
741_5001_5602_333,6,EUR,0,0,5,
741_5001_5602_337,6,EUR,0,0,5,
741_5001_5602_338,6,EUR,0,0,5,
741_5001_5602_339,6,EUR,0,0,5,
741_5001_5602_340,6,EUR,0,0,5,
741_5001_5602_5603,6,EUR,0,0,5,
741_5001_5602_5847,6,EUR,0,0,5,
741_5001_5602_5848,6,EUR,0,0,5,
741_5001_5602_5849,6,EUR,0,0,5,
741_5001_5602_5850,6,EUR,0,0,5,
741_5001_5602_5853,6,EUR,0,0,5,
741_5001_5602_5854,6,EUR,0,0,5,
741_5001_5602_5858,6,EUR,0,0,5,
741_5001_5602_5859,6,EUR,0,0,5,
741_5001_5602_5867,6,EUR,0,0,5,
741_5001_5602_5901,6,EUR,0,0,5,
741_5001_5602_7060,6,EUR,0,0,5,
741_5001_5602_7973,6,EUR,0,0,5,
741_5001_5602_8010,6,EUR,0,0,5,
741_5001_5603_1,6,EUR,0,0,5,
741_5001_5603_8010,6,EUR,0,0,5,
741_5001_5622_1,6,EUR,0,0,5,
741_5001_5622_324,6,EUR,0,0,5,
741_5001_5622_325,6,EUR,0,0,5,
741_5001_5622_326,6,EUR,0,0,5,
741_5001_5622_332,6,EUR,0,0,5,
741_5001_5622_333,6,EUR,0,0,5,
741_5001_5622_337,6,EUR,0,0,5,
741_5001_5622_338,6,EUR,0,0,5,
741_5001_5622_339,6,EUR,0,0,5,
741_5001_5622_340,6,EUR,0,0,5,
741_5001_5622_5602,6,EUR,0,0,5,
741_5001_5622_5603,6,EUR,0,0,5,
741_5001_5622_5847,6,EUR,0,0,5,
741_5001_5622_5848,6,EUR,0,0,5,
741_5001_5622_5849,6,EUR,0,0,5,
741_5001_5622_5850,6,EUR,0,0,5,
741_5001_5622_5853,6,EUR,0,0,5,
741_5001_5622_5854,6,EUR,0,0,5,
741_5001_5622_5858,6,EUR,0,0,5,
